PGR	2017-10-25	2018-03-08	0.84	0.773	9.1
NVDA	2016-11-10	2017-03-24	1.13	0.979	15.4
HD	2016-11-21	2017-04-04	1.44	1.334	8
WMT	2016-11-21	2017-04-04	1.3	1.29	0.8
M	2016-11-21	2017-04-04	2.02	1.958	3.2
TJX	2016-11-22	2017-04-05	1.03	1.002	2.8
LB	2016-11-22	2017-04-05	2.03	1.9	7
KSS	2016-11-23	2017-04-06	1.44	1.325	8.7
JWN	2016-11-23	2017-04-06	1.27	1.153	10.1
GPS	2016-11-23	2017-04-06	0.51	0.51	0
FL	2016-11-25	2017-04-07	1.37	1.318	3.9
TGT	2016-11-29	2017-04-11	1.45	1.508	-3.8
ROST	2016-11-29	2017-04-11	0.77	0.754	1.9
CRM	2016-11-29	2017-04-11	0.28	0.248	12.9
LOW	2016-11-30	2017-04-12	0.86	0.785	9.6
BBY	2016-11-30	2017-04-12	1.95	1.667	17
DLTR	2016-11-30	2017-04-12	1.42	1.318	7.5
KR	2016-12-01	2017-04-13	0.53	0.52	1.9
ADSK	2016-12-01	2017-04-13	-0.28	-0.338	17.2
ULTA	2016-12-08	2017-04-21	2.24	2.135	4.9
DG	2016-12-15	2017-04-28	1.49	1.413	5.8
TIF	2016-12-16	2017-05-01	1.45	1.384	4.8
PVH	2016-12-21	2017-05-04	1.23	1.192	3.2
RHT	2016-12-27	2017-05-09	0.61	0.608	0.3
STZ	2017-01-09	2017-05-19	1.48	1.364	8.5
KMX	2017-01-09	2017-05-19	0.81	0.786	2.7
XLNX	2017-01-27	2017-06-08	0.57	0.541	5.4
QRVO	2017-02-03	2017-06-15	0.85	0.808	5.2
EA	2017-02-09	2017-06-21	0.85	0.747	13.3
MCHP	2017-02-09	2017-06-21	1.16	1.065	8.9
SYMC	2017-02-10	2017-06-22	0.28	0.283	-1.1
CA	2017-02-13	2017-06-23	0.54	0.492	9.8
RL	2017-02-21	2017-06-30	0.89	0.778	14.4
MCK	2017-02-21	2017-06-30	3.42	3.002	13.9
TTWO	2017-02-24	2017-07-06	0.71	0.568	25
NTAP	2017-02-27	2017-07-07	0.86	0.822	4.6
MDT	2017-02-28	2017-07-10	1.33	1.313	1.3
DXC	2017-02-28	2017-07-10	1.15	0.827	39.1
KORS	2017-03-03	2017-07-13	0.73	0.7	4.3
BF/B	2017-03-10	2017-07-20	0.3	0.324	-6.2
SJM	2017-03-13	2017-07-21	1.8	1.722	4.5
HRB	2017-03-16	2017-07-26	3.76	3.531	6.5
FDX	2017-03-23	2017-08-02	4.25	3.875	9.7
ORCL	2017-03-24	2017-08-03	0.89	0.784	13.5
DRI	2017-03-30	2017-08-09	1.18	1.154	2.3
GIS	2017-03-31	2017-08-10	0.73	0.711	2.7
PAYX	2017-03-31	2017-08-10	0.54	0.528	2.3
CAG	2017-04-03	2017-08-11	0.37	0.374	-1.1
NKE	2017-04-03	2017-08-11	0.6	0.501	19.9
MSFT	2017-04-24	2017-08-31	0.75	0.708	5.9
CTAS	2017-04-24	2017-08-31	1.25	1.107	12.9
STX	2017-04-27	2017-09-06	0.65	0.98	-33.7
LRCX	2017-04-28	2017-09-07	3.11	3.025	2.8
PG	2017-05-01	2017-09-08	0.85	0.782	8.7
ADP	2017-05-01	2017-09-08	0.66	0.669	-1.3
WDC	2017-05-01	2017-09-08	2.93	2.833	3.4
KLAC	2017-05-01	2017-09-08	1.64	1.597	2.7
HRS	2017-05-04	2017-09-13	1.49	1.486	0.3
RMD	2017-05-04	2017-09-13	0.77	0.744	3.5
CAH	2017-05-05	2017-09-14	1.31	1.244	5.3
CLX	2017-05-08	2017-09-15	1.53	1.492	2.6
PH	2017-05-08	2017-09-15	2.45	2.308	6.2
FOXA	2017-05-12	2017-09-21	0.36	0.348	3.4
NWSA	2017-05-15	2017-09-22	0.11	0.095	15.8
SYY	2017-05-17	2017-09-26	0.72	0.715	0.7
TPR	2017-05-18	2017-09-27	0.5	0.495	1
